Order (chronological),Display Title,Year (Almanac),Year (Wikipedia),Year Mismatch?,Type (auto),Director,Genre (source),Summary,Tags (manual),Controlled Tags,WBN Notes (factual),War-adjacent? (manual),International focus? (manual),Pre-FNL era? (auto),Pre-Moneyball era? (auto),Tags (auto),Baseball level,Setting (state/country),Release Decade,Almanac Details,Almanac Link,Wikipedia Link,Sources,Last verified,Needs research?,Simmons Top21?,Simmons Top21 Rank,Simmons Honorable Mention?,Simmons Not Mentioned?,Simmons Notes,Stream (Library),Stream (FAST),
246,Game 6,2005,2005,,,Michael Hoffman,Drama,A playwright ( Michael Keaton ) has a wild night during a Red Sox playoff series. [ 130 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000EU1ONS/baseballalmanac,https://en.wikipedia.org/wiki/Game_6,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
247,History Rings True: Red Sox Opening Day Ring Ceremony,2005,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000VHNLSA/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
248,Pitcher and the Pin-Up,2005,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0007XBN2Y/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
249,Pure Heat - Ultimate MLB Flamethrowers,2005,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000A345EY/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
250,The Sandlot 2,2005,2005,,Direct-to-video,David Mickey Evans,Comedy,Direct-to-video sequel to The Sandlot . [ 93 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0007LLPWO/baseballalmanac,https://en.wikipedia.org/wiki/The_Sandlot_2,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
251,World Series 2005 - Chicago White Sox,2005,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000AXWX6Q/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
252,Beer League,2006,2006,,,Frank Sebastiano,Comedy,A town drunk plays in a big softball game. [ 134 ],,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/Beer_League,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
253,Everyone's Hero,2006,2006,,,"Christopher Reeve , Daniel St. Pierre and Colin Brady",Animation,Cartoon family film with baseball theme. [ 133 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000MNOX9E/baseballalmanac,https://en.wikipedia.org/wiki/Everyone%27s_Hero,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
254,Here Come the Tigers,2006,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000BNXD5K/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
255,Kokoyakyu: High School Baseball,2006,2006,,Documentary,Kenneth Eng,Documentary,Broadcast on the U.S. PBS series POV . Explores the phenomenon of high school baseball in Japan . [ 136 ],,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/Kokoyakyu:_High_School_Baseball,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
256,MLB Vintage World Series Films - New York Yankees 17 Championship Seasons,2006,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000FBFYXC/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
257,Off the Black,2006,2006,,,James Ponsoldt,Drama,An umpire ( Nick Nolte ) befriends a high school player who hated him. [ 135 ],,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/Off_the_Black,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
258,The Benchwarmers,2006,2006,,,Dennis Dugan,Comedy,David Spade and Rob Schneider as middle-aged nerds who want to play ball. [ 132 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000G0O5I2/baseballalmanac,https://en.wikipedia.org/wiki/The_Benchwarmers,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
259,The Cincinnati Reds 1975 World Series Collector's Edition,2006,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0009PLM6W/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
260,American Pastime,2007,2007,,,Desmond Nakano,Drama,"Based on true events, depicts life inside internment camps , where baseball was one of the major diversions from the reality of the internees' lives. [ 142 ]",,,,,,No,Yes,"war-adjacent, biopic/true story",,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000NTPG7A/baseballalmanac,https://en.wikipedia.org/wiki/American_Pastime_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
261,Black Irish,2007,2007,,,Brad Gann,Drama,Boston teen tries to escape family problems through his pitching. [ 141 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000XUOLQQ/baseballalmanac,https://en.wikipedia.org/wiki/Black_Irish_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
262,Chasin October A Fan's Crusade,2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B005UDYS64/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
263,Dummy Hoy: A Deaf Hero,2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000WV1O1G/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
264,"MLB Vintage World Series Films - Cincinnati Reds 1975, 1976 &",2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000NA2TUG/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
265,"MLB Vintage World Series Films - Detroit Tigers 1945, 1968 &",2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000MKXEYC/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
266,New York Yankees 1977 World Series Collector's Edition,2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000NA2TT2/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
267,Reel Baseball: Baseball Films from the Silent Era,2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000N2HDGE/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
268,Season of the Samurai,2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
269,The Bronx Is Burning,2007,2007,,Documentary,Jeremiah Chechik,Biographical,"A docudrama of the events surrounding the 1977 New York Yankees season , with John Turturro as Billy Martin . [ 140 ]",,,,,,No,Yes,biopic/true story,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000R7HY46/baseballalmanac,https://en.wikipedia.org/wiki/The_Bronx_Is_Burning,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
270,The Final Season,2007,2007,,,David Mickey Evans,Drama,"Based on 1991 season of Norway High School in Norway, Iowa , before it was closed and consolidated into its county school district , starring Sean Astin . [ 137 ]",,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0012YYZDG/baseballalmanac,https://en.wikipedia.org/wiki/The_Final_Season,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
271,The Sandlot: Heading Home,2007,2007,,Direct-to-video,William Dear,Comedy,Second direct-to-video sequel to The Sandlot . [ 138 ] [ 139 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000RF513E/baseballalmanac,https://en.wikipedia.org/wiki/The_Sandlot:_Heading_Home,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
272,"War Eagle, Arkansas",2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
273,Yankeeography Megaset,2007,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000UL61DY/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
274,City Without Baseball,2008,2008,,,Lawrence Ah Mon,Drama,Chinese film. [ 143 ],,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/City_Without_Baseball,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
275,Diminished Capacity,2008,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
276,Los Angeles Dodgers 1988 World Series Collector's Edition,2008,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000ZDQI80/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
277,Signs of the Time,2008,2008,,Documentary,Don Casper,Documentary,Hour-long film which focuses on the origin of hand signals in baseball. [ 144 ],,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/Signs_of_the_Time_(film),https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
278,Signs of the Times,2008,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
279,Sugar,2008,2008,,,Anna Boden and Ryan Fleck,Drama,Story about a Dominican prospect and his adjustment to life in the U.S. [ 145 ],"international, minor leagues/MLB dream",,,,Yes,No,Yes,international,,Dominican Republic / USA,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B002E01LOI/baseballalmanac,https://en.wikipedia.org/wiki/Sugar_(2008_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,Y,9,,,Baseball-related; ranked in Simmons Top 21 sports movies (21st century).,Bill Simmons Podcast: '21 Best Sports Movies of the 21st Century' transcript,Kanopy,Tubi
280,The Girls of Summer,2008,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B008H1407I/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
281,Touching Home,2008,2008,,,Logan Miller and Noah Miller,Drama,Brothers with pro-ball ambitions deal with their homeless father ( Ed Harris ). [ 146 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B004CYVZ5E/baseballalmanac,https://en.wikipedia.org/wiki/Touching_Home_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
282,2009 New York Yankees - The Official World Series Film,2009,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B002IW8V1I/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
283,Blutopia: The Los Angeles Dodgers Movie,2009,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
284,Calvin Marshall,2009,2009,,,Gary Lundgren,Comedy,Talentless baseball player Alex Frost tries to make Steve Zahn coached college team. [ 149 ],,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/Calvin_Marshall,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
285,Renegades: A Beep Ball Story,2009,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
286,The New York Yankees 2009 World Series Collector's Edition,2009,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B002FU8J1K/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
287,The Official World Series Film Collection,2009,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B002AS45SS/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
288,The Open Road,2009,2009,,,Michael Meredith,Drama,Minor leaguer Justin Timberlake has issues with baseball-legend dad Jeff Bridges . [ 148 ],,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/The_Open_Road,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
289,Yankeeography: The Captains Collection,2009,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0026RLMA2/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
290,4192: The Crowning of the Hit King,2010,2010,,Documentary,Terry Lukemire,Documentary,"Reviewing the achievements, controversies of all-time hit leader Pete Rose . [ 150 ]",,,,,,No,Yes,,,,2010s,,,https://en.wikipedia.org/wiki/4192:_The_Crowning_of_the_Hit_King,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
291,Baseball's Greatest Games: 1960 World Series Game 7,2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B004AP3PO4/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
292,Chasing,2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B003VE9WTW/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
293,Chasing 3000,2010,2010,,,Gregory J. Lanesey,Drama,"Two boys go a long way to witness 3,000th career hit of Roberto Clemente . [ 151 ]",,,,,,No,Yes,,,,2010s,,,https://en.wikipedia.org/wiki/Chasing_3000,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
294,Essential Games of the Detroit Tigers,2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B001UGJURC/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
295,Fernando Nation,2010,2010,,TV Movie,Cruz Angeles,Documentary,Made for TV as a part of ESPN's 30 for 30 series. Chronicles impact of Fernando Valenzuela 's 1981 rookie season with Los Angeles Dodgers . [ 152 ],,,,,,No,Yes,,,,2010s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
296,Four Days in October,2010,2010,,TV Movie,Gary Waksman,Documentary,Made for TV as a part of ESPN's 30 for 30 series. On the Boston Red Sox ' comeback from 3–0 series deficit against Yankees in 2004 ALCS . [ 153 ],,,,,,No,Yes,,,,2010s,,,https://en.wikipedia.org/wiki/Four_Days_in_October,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
297,Four Days in October (ESPN 30 for 30 Series),2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0040ZN9LS/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
298,How Do You Know,2010,2010,,,James L. Brooks,Rom-Com,A romantic triangle involving a softball player ( Reese Witherspoon ) and a Washington Nationals pitcher ( Owen Wilson ). [ 154 ],,,,,,No,Yes,,,,2010s,,,https://en.wikipedia.org/wiki/How_Do_You_Know,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
299,Jews and Baseball: An American Love Story,2010,2010,,Documentary,Peter Miller,Documentary,Documentary film on the connection and history between American Jews and baseball. [ 156 ],,,,,,No,Yes,,,,2010s,,,https://en.wikipedia.org/wiki/Jews_and_Baseball:_An_American_Love_Story,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
300,Jordan Rides The Bus (ESPN 30 for 30 Series),2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0040ZN9K4/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
301,Jordan Rides the Bus,2010,2010,,TV Movie,Ron Shelton,Documentary,Made for TV as a part of ESPN's 30 for 30 series. Explores Michael Jordan 's brief career in minor league baseball after his first retirement from basketball. [ 157 ],,,,,,No,Yes,,,,2010s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
302,Little Big Men,2010,2010,,TV Movie,Al Szymanski,Documentary,"Made for TV as a part of ESPN's 30 for 30 series. On a Kirkland National Little League team's stunning victory in 1982 Little League World Series , and players' lives in the decades that followed. [ 158 ]",,,,,,No,Yes,,,,2010s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
303,Little Big Men (ESPN 30 for 30 Series),2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B003ZTDZVO/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
304,Reds Memories: The Greatest Moments in Cincinnati Reds History,2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0038SUBC8/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
305,Silly Little Game,2010,2010,,TV Movie,Adam Kurland and Lucas Jansen,Documentary,"Made for TV as a part of ESPN's 30 for 30 series. About the New York City writers and academics who created Rotisserie fantasy baseball , and how their creation eventually left them behind. [ 159 ]",,,,,,No,Yes,,,,2010s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
306,Silly Little Game (ESPN 30 for 30 Series),2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B003BEE27O/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
307,The House of Steinbrenner,2010,2010,,TV Movie,Barbara Kopple,Documentary,Made for TV as a part of ESPN's 30 for 30 series. Explores the legacy of George Steinbrenner 's ownership of the New York Yankees . [ 155 ],,,,,,No,Yes,,,,2010s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
308,The Perfect Game,2010,2009,Yes,,William Dear,Drama,Based on true story of Mexico team that won 1957 Little League World Series . [ 147 ],,,,,,No,Yes,biopic/true story,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B004X2TYG2/baseballalmanac,https://en.wikipedia.org/wiki/The_Perfect_Game,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
309,Yankeeography: The Core Four Collection,2010,,,,,,,,,,,,No,Yes,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B003X3BYDS/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
310,2011 World Series Collectors Edition,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B005CXOGAU/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
311,4192: The Crowning of the Hit King ( Pete Rose ),2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B003WVJ712/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
312,A Mile in His Shoes,2011,2011,,,William Dear,Drama,A minor-league manager stumbles on a hidden talent who throws apples on a farm. [ 161 ],,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B07DF75HVQ/baseballalmanac,https://en.wikipedia.org/wiki/A_Mile_in_His_Shoes,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
313,Angels Memories: The Greatest Moments in Angels Baseball History,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B004K4FURU/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
314,Ballplayer: Pelotero,2011,2011,,Documentary,"Jonathan Paley , Ross Finkel and Trevor Martin",Documentary,A behind-the-scenes glimpse into the remarkably organized and well-managed system in the Dominican Republic that has produced an inordinate amount of elite athletes. [ 163 ],,,,,,No,No,international,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/1529323459/baseballalmanac,https://en.wikipedia.org/wiki/Ballplayer:_Pelotero,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
315,Baseball's Greatest Games: 1979 Wrigley Field Slugfest,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0054DPLSY/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
316,Baseball's Greatest Games: 1986 World Series Game 6,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0054DPLK2/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
317,Baseball's Greatest Games: 1992 NLCS Game 7,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0054DPLPW/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
318,Baseball's Greatest Games: 1993 World Series Game 6,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0054DPLCU/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
319,Baseball's Greatest Games: Collector's Edition,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B004MZ5P2C/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
320,Baseball's Greatest Games: Derek Jeter's 3000th Hit,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B005CDSIZ4/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
321,Catching Hell,2011,2011,,TV Movie,Alex Gibney,Documentary,Made for TV as a follow-up to ESPN's 30 for 30 series. Explores relationship between Steve Bartman and other Chicago Cubs fans since foul-ball incident in Game 6 of 2003 NLCS . [ 160 ],,,,,,No,No,,,,2010s,,,https://en.wikipedia.org/wiki/Catching_Hell,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
322,Catching Hell (ESPN 30 for 30 Series),2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0040ZN9MW/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
323,Chicago Cubs: The Heart & Soul of Chicago,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B004RIACDQ/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
324,Fernando Nation (ESPN 30 for 30 Series),2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0049H9FQK/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
325,La Hazaña Del 41,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
326,Milltown Pride,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0054TOU4O/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
327,Moneyball,2011,2011,,,Bennett Miller,Drama,"Based on a true story , the Michael Lewis best-seller about Oakland A's exec Billy Beane , played by Brad Pitt , and assistant general manager Peter Brand (based on Paul DePodesta , played by Jonah Hill ). [ 162 ]","analytics, biopic/true story",,,,,No,No,,,"California, USA",2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0060ZJ7BC/baseballalmanac,https://en.wikipedia.org/wiki/Moneyball_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,Y,1,,,Baseball-related; ranked in Simmons Top 21 sports movies (21st century).,Bill Simmons Podcast: '21 Best Sports Movies of the 21st Century' transcript,,AMC+
328,Prime 9: MLB Heroics,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B004J713L0/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
329,Steve Bartman: Catching Hell,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
330,The Anaheim Angels 2002 World Series Collection,2011,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B004K4FUTS/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
331,Baseball's Greatest Games: 2011 World Series Game 6,2012,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B0071BY2NC/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
332,Baseball's Greatest Games: Verlander's 2007 No-Hitter,2012,,,,,,,,,,,,No,No,,,,2010s,Amazon,https://www.amazon.com/exec/obidos/asin/B007WTSQIA/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
